2026/08/10 13:13:52 [error] 369#369: *1688 "/var/www/html/lessons/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /lessons/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:53 [error] 369#369: *1688 "/var/www/html/lessons/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /lessons/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:53 [error] 369#369: *1688 "/var/www/html/lessons/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /lessons/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:53 [error] 369#369: *1688 "/var/www/html/lessons/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /lessons/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:53 [error] 369#369: *1688 "/var/www/html/lessons/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /lessons/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:53 [error] 369#369: *1688 "/var/www/html/lessons/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /lessons/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:14:50 [error] 391#391: *1755 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:14:51 [error] 391#391: *1755 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:14:52 [error] 391#391: *1755 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:14:52 [error] 391#391: *1755 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:14:52 [error] 391#391: *1755 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:15:16 [error] 246#246: *10 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:15:17 [error] 246#246: *10 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:15:17 [error] 246#246: *10 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:15:18 [error] 246#246: *10 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:15:18 [error] 246#246: *10 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:15:18 [error] 246#246: *10 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:15:18 [error] 246#246: *10 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:15:18 [error] 246#246: *10 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:36:58 [error] 551#551: *2141 open() "/var/www/html/api/v1/auth/login" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "HEAD /api/v1/auth/login HTTP/1.1", host: "localhost"
2026/08/10 13:37:34 [error] 552#552: *2142 open() "/var/www/html/api/v1/auth/login" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /api/v1/auth/login HTTP/1.1", host: "localhost"
